,event_id,event_name,time_date,location,timezone,visiting_team,home_team
223,9150502,New York Yankees at Boston Red Sox ,2015-05-02 17:35:00,Fenway Park,EST,New York Yankees,Boston Red Sox 
224,9150484,Kansas City Royals at Boston Red Sox ,2015-08-22 23:10:00,Fenway Park,EST,Kansas City Royals,Boston Red Sox 
225,9150468,Tampa Bay Rays at Boston Red Sox ,2015-08-01 17:35:00,Fenway Park,EST,Tampa Bay Rays,Boston Red Sox 
226,9150504,New York Yankees at Boston Red Sox ,2015-05-04 00:05:00,Fenway Park,EST,New York Yankees,Boston Red Sox 
227,9150421,Toronto Blue Jays at Boston Red Sox ,2015-06-13 17:35:00,Fenway Park,EST,Toronto Blue Jays,Boston Red Sox 
228,9150422,Toronto Blue Jays at Boston Red Sox ,2015-06-14 17:35:00,Fenway Park,EST,Toronto Blue Jays,Boston Red Sox 
229,9150415,Toronto Blue Jays at Boston Red Sox ,2015-06-12 23:10:00,Fenway Park,EST,Toronto Blue Jays,Boston Red Sox 
230,9150498,New York Yankees at Boston Red Sox ,2015-07-10 23:10:00,Fenway Park,EST,New York Yankees,Boston Red Sox 
231,9150507,New York Yankees at Boston Red Sox ,2015-07-12 17:35:00,Fenway Park,EST,New York Yankees,Boston Red Sox 
232,9150505,New York Yankees at Boston Red Sox ,2015-07-11 23:15:00,Fenway Park,EST,New York Yankees,Boston Red Sox 
233,9150384,Los Angeles Angels at Boston Red Sox ,2015-05-24 17:35:00,Fenway Park,EST,Los Angeles Angels,Boston Red Sox 
234,9150382,Los Angeles Angels at Boston Red Sox ,2015-05-23 23:15:00,Fenway Park,EST,Los Angeles Angels,Boston Red Sox 
235,9150380,Los Angeles Angels at Boston Red Sox ,2015-05-22 23:10:00,Fenway Park,EST,Los Angeles Angels,Boston Red Sox 
236,9150414,Toronto Blue Jays at Boston Red Sox ,2015-04-29 22:10:00,Fenway Park,EST,Toronto Blue Jays,Boston Red Sox 
237,9150497,New York Yankees at Boston Red Sox ,2015-05-01 23:10:00,Fenway Park,EST,New York Yankees,Boston Red Sox 
238,9150483,Kansas City Royals at Boston Red Sox ,2015-08-21 23:10:00,Fenway Park,EST,Kansas City Royals,Boston Red Sox 
239,9150462,Tampa Bay Rays at Boston Red Sox ,2015-05-04 23:10:00,Fenway Park,EST,Tampa Bay Rays,Boston Red Sox 
240,9150469,Tampa Bay Rays at Boston Red Sox ,2015-08-02 17:35:00,Fenway Park,EST,Tampa Bay Rays,Boston Red Sox 
241,9150471,Tampa Bay Rays at Boston Red Sox ,2015-09-21 23:10:00,Fenway Park,EST,Tampa Bay Rays,Boston Red Sox 
242,9150412,Toronto Blue Jays at Boston Red Sox ,2015-04-27 22:10:00,Fenway Park,EST,Toronto Blue Jays,Boston Red Sox 
243,9172202,Boston Red Sox at Chicago White Sox ,2015-08-26 18:10:00,US Cellular Field,CST,Boston Red Sox,Chicago White Sox 
244,9172201,Boston Red Sox at Chicago White Sox ,2015-08-25 18:10:00,US Cellular Field,CST,Boston Red Sox,Chicago White Sox 
245,9172200,Boston Red Sox at Chicago White Sox ,2015-08-24 18:10:00,US Cellular Field,CST,Boston Red Sox,Chicago White Sox 
246,9158542,Boston Red Sox at Houston Astros ,2015-07-23 00:10:00,Minute Maid Park,CST,Boston Red Sox,Houston Astros 
247,9158543,Boston Red Sox at Houston Astros ,2015-07-24 00:10:00,Minute Maid Park,CST,Boston Red Sox,Houston Astros 
248,9158541,Boston Red Sox at Houston Astros ,2015-07-22 00:10:00,Minute Maid Park,CST,Boston Red Sox,Houston Astros 
249,9172033,Boston Red Sox at Minnesota Twins ,2015-05-27 00:10:00,Target Field,CST,Boston Red Sox,Minnesota Twins 
250,9165003,Boston Red Sox at Detroit Tigers ,2015-08-09 17:08:00,Comerica Park,EST,Boston Red Sox,Detroit Tigers 
252,9172034,Boston Red Sox at Minnesota Twins ,2015-05-25 18:10:00,Target Field,CST,Boston Red Sox,Minnesota Twins 
254,9165029,Boston Red Sox at Cleveland Indians ,2015-10-03 23:05:00,Progressive Field,EST,Boston Red Sox,Cleveland Indians 
259,9165028,Boston Red Sox at Cleveland Indians ,2015-10-02 23:05:00,Progressive Field,EST,Boston Red Sox,Cleveland Indians 
260,9165030,Boston Red Sox at Cleveland Indians ,2015-10-04 19:05:00,Progressive Field,EST,Boston Red Sox,Cleveland Indians 
261,9162333,Boston Red Sox at Miami Marlins ,2015-08-11 23:10:00,Marlins Park,EST,Boston Red Sox,Miami Marlins 
262,9162334,Boston Red Sox at Miami Marlins ,2015-08-12 20:10:00,Marlins Park,EST,Boston Red Sox,Miami Marlins 
263,9172045,Boston Red Sox at Minnesota Twins ,2015-05-27 17:10:00,Target Field,CST,Boston Red Sox,Minnesota Twins 
265,9165002,Boston Red Sox at Detroit Tigers ,2015-08-08 23:08:00,Comerica Park,EST,Boston Red Sox,Detroit Tigers 
267,9165001,Boston Red Sox at Detroit Tigers ,2015-08-07 23:08:00,Comerica Park,EST,Boston Red Sox,Detroit Tigers 
269,9168851,Boston Red Sox at Atlanta Braves ,2015-06-17 23:10:00,Turner Field,EST,Boston Red Sox,Atlanta Braves 
270,9158027,Boston Red Sox at Oakland Athletics ,2015-05-12 02:05:00,O.co Coliseum,PST,Boston Red Sox,Oakland Athletics 
271,9158028,Boston Red Sox at Oakland Athletics ,2015-05-13 02:05:00,O.co Coliseum,PST,Boston Red Sox,Oakland Athletics 
272,9158029,Boston Red Sox at Oakland Athletics ,2015-05-13 19:35:00,O.co Coliseum,PST,Boston Red Sox,Oakland Athletics 
273,9168852,Boston Red Sox at Atlanta Braves ,2015-06-18 23:10:00,Turner Field,EST,Boston Red Sox,Atlanta Braves 
274,9158401,Boston Red Sox at Seattle Mariners ,2015-05-17 01:10:00,Safeco Field,PST,Boston Red Sox,Seattle Mariners 
275,9158612,Boston Red Sox at Texas Rangers ,2015-05-30 00:05:00,Globe Life Park,CST,Boston Red Sox,Texas Rangers 
276,9158611,Boston Red Sox at Texas Rangers ,2015-05-29 00:05:00,Globe Life Park,CST,Boston Red Sox,Texas Rangers 
277,9158614,Boston Red Sox at Texas Rangers ,2015-05-31 19:05:00,Globe Life Park,CST,Boston Red Sox,Texas Rangers 
278,9158613,Boston Red Sox at Texas Rangers ,2015-05-30 23:15:00,Globe Life Park,CST,Boston Red Sox,Texas Rangers 
279,9158403,Boston Red Sox at Seattle Mariners ,2015-05-17 20:10:00,Safeco Field,PST,Boston Red Sox,Seattle Mariners 
280,9158400,Boston Red Sox at Seattle Mariners ,2015-05-16 02:10:00,Safeco Field,PST,Boston Red Sox,Seattle Mariners 
281,9158399,Boston Red Sox at Seattle Mariners ,2015-05-15 02:10:00,Safeco Field,PST,Boston Red Sox,Seattle Mariners 
282,9158727,Boston Red Sox at Philadelphia Phillies ,2015-04-06 19:05:00,Citizens Bank Park,EST,Boston Red Sox,Philadelphia Phillies 
283,9158729,Boston Red Sox at Philadelphia Phillies ,2015-04-09 23:05:00,Citizens Bank Park,EST,Boston Red Sox,Philadelphia Phillies 
284,9158728,Boston Red Sox at Philadelphia Phillies ,2015-04-08 23:05:00,Citizens Bank Park,EST,Boston Red Sox,Philadelphia Phillies 
285,9160931,Boston Red Sox at Tampa Bay Rays ,2015-06-28 17:10:00,Tropicana Field,EST,Boston Red Sox,Tampa Bay Rays 
286,9160923,Boston Red Sox at Tampa Bay Rays ,2015-04-21 23:10:00,Tropicana Field,EST,Boston Red Sox,Tampa Bay Rays 
287,9150332,Boston Red Sox at New York Yankees ,2015-08-06 23:05:00,Yankee Stadium,EST,Boston Red Sox,New York Yankees 
288,9160926,Boston Red Sox at Tampa Bay Rays ,2015-04-22 23:10:00,Tropicana Field,EST,Boston Red Sox,Tampa Bay Rays 
289,9160929,Boston Red Sox at Tampa Bay Rays ,2015-06-26 23:10:00,Tropicana Field,EST,Boston Red Sox,Tampa Bay Rays 
290,9160932,Boston Red Sox at Tampa Bay Rays ,2015-09-11 23:10:00,Tropicana Field,EST,Boston Red Sox,Tampa Bay Rays 
291,9160933,Boston Red Sox at Tampa Bay Rays ,2015-09-12 22:10:00,Tropicana Field,EST,Boston Red Sox,Tampa Bay Rays 
292,9160934,Boston Red Sox at Tampa Bay Rays ,2015-09-13 17:10:00,Tropicana Field,EST,Boston Red Sox,Tampa Bay Rays 
293,9160930,Boston Red Sox at Tampa Bay Rays ,2015-06-27 20:10:00,Tropicana Field,EST,Boston Red Sox,Tampa Bay Rays 
294,9160167,Boston Red Sox at Toronto Blue Jays ,2015-05-08 23:07:00,Rogers Centre,EST,Boston Red Sox,Toronto Blue Jays 
